N°,CODE ISIN,MNEMO,VALEUR,GROUPE DE COTATION
1,TN0001100254,SFBT,SFBT,11 - Continu
2,TN0001400704,SPDIT,SPDIT - SICAF,11 - Continu
3,TN0001600154,TJARI,ATTIJARI BANK,11 - Continu
4,TN0001800457,BIAT,BIAT,11 - Continu
5,TN0001900604,BH,BH BANK,11 - Continu
6,TN0002200053,BT,BT,11 - Continu
7,TN0002600955,STB,STB,11 - Continu
8,TN0003100609,BNA,BNA,11 - Continu
9,TN0003400058,AB,AMEN BANK,11 - Continu
10,TN0003600350,ATB,ATB,11 - Continu
11,TN0003900107,UIB,UIB,11 - Continu
12,TN0005700018,PGH,POULINA GP HOLDING,11 - Continu
13,TN0006560015,SOTUV,SOTUVER,11 - Continu
14,TN0007200017,WIFAK,WIFACK INT BANK,11 - Continu
15,TN0007270010,TPR,TPR,11 - Continu
16,TN0007300015,ARTES,ARTES,11 - Continu
17,TN0007400013,CC,CARTHAGE CEMENT,11 - Continu
18,TN0007410012,NAKL,ENNAKL AUTOMOBILES,11 - Continu
19,TN0007530017,OTH,ONE TECH HOLDING,11 - Continu
20,TN0007550015,CITY,CITY CARS,11 - Continu
21,TN0007610017,SAH,SAH,11 - Continu
22,TN0007670011,DH,DELICE HOLDING,11 - Continu
23,TN0007720014,UMED,UNIMED,11 - Continu
1,TN0002100907,TLS,TUNISIE LEASING F,11 - Continu
2,TN0003200755,ICF,ICF,11 - Continu
3,TN0004700100,ATL,ATL,11 - Continu
4,TN0006530018,SOTET,SOTETEL,11 - Continu
5,TN0006580013,MGR,SOTUMAG,11 - Continu
6,TN0006590012,SIAME,SIAME,11 - Continu
7,TN0006610018,TJL,ATTIJARI LEASING,11 - Continu
8,TN0006660013,STPIL,SOTRAPIL,11 - Continu
9,TN0007380017,TRE,TUNIS RE,11 - Continu
10,TN0007510019,LNDOR,LAND OR,11 - Continu
11,TN0007540016,NBL,NEW BODY LINE,11 - Continu
12,TN0007570013,ECYCL,EURO-CYCLES,11 - Continu
13,TN0007620016,MPBS,MPBS,11 - Continu
14,TN0007630015,STPAP,SOTIPAPIER,11 - Continu
15,TN0007740012,SAM,ATELIER MEUBLE INT,11 - Continu
16,TNQPQXRODTH8,SMART,SMART TUNISIE,11 - Continu
17,TNNGTFLC2986,STA,STA,11 - Continu
18,TNDKJ8O68X14,AMV,ASSU MAGHREBIA VIE,11 - Continu
